Symbol,Name,결산월,회계년,주기,총부채(천원)
A013240,셀런,12,2012,Annual,
A013240,셀런,12,2013,Annual,
A013240,셀런,12,2014,Annual,
A013240,셀런,12,2015,Annual,
A013240,셀런,12,2016,Annual,
A013240,셀런,12,2017,Annual,
A013240,셀런,12,2018,Annual,
A013240,셀런,12,2019,Annual,
A013240,셀런,12,2020,Annual,
A013240,셀런,12,2021,Annual,
A013240,셀런,12,2022,Annual,
A013820,피앤텍,12,2011,Annual,
A013820,피앤텍,12,2012,Annual,
A013820,피앤텍,12,2013,Annual,
A013820,피앤텍,12,2014,Annual,
A013820,피앤텍,12,2015,Annual,
A013820,피앤텍,12,2016,Annual,
A013820,피앤텍,12,2017,Annual,
A013820,피앤텍,12,2018,Annual,
A013820,피앤텍,12,2019,Annual,
A013820,피앤텍,12,2020,Annual,
A013820,피앤텍,12,2021,Annual,
A013820,피앤텍,12,2022,Annual,
A014040,GPS,12,2011,Annual,
A014040,GPS,12,2012,Annual,
A014040,GPS,12,2013,Annual,
A014040,GPS,12,2014,Annual,
A014040,GPS,12,2015,Annual,
A014040,GPS,12,2016,Annual,
A014040,GPS,12,2017,Annual,
A014040,GPS,12,2018,Annual,
A014040,GPS,12,2019,Annual,
A014040,GPS,12,2020,Annual,
A014040,GPS,12,2021,Annual,
A014040,GPS,12,2022,Annual,
A014080,뉴맥스,12,2011,Annual,
A014080,뉴맥스,12,2012,Annual,
A014080,뉴맥스,12,2013,Annual,
A014080,뉴맥스,12,2014,Annual,
A014080,뉴맥스,12,2015,Annual,
A014080,뉴맥스,12,2016,Annual,
A014080,뉴맥스,12,2017,Annual,
A014080,뉴맥스,12,2018,Annual,
A014080,뉴맥스,12,2019,Annual,
A014080,뉴맥스,12,2020,Annual,
A014080,뉴맥스,12,2021,Annual,
A014080,뉴맥스,12,2022,Annual,
A014300,선진지주,12,2011,Annual,"89,057,324"
A014300,선진지주,12,2012,Annual,
A014300,선진지주,12,2013,Annual,
A014300,선진지주,12,2014,Annual,
A014300,선진지주,12,2015,Annual,
A014300,선진지주,12,2016,Annual,
A014300,선진지주,12,2017,Annual,
A014300,선진지주,12,2018,Annual,
A014300,선진지주,12,2019,Annual,
A014300,선진지주,12,2020,Annual,
A014300,선진지주,12,2021,Annual,
A014300,선진지주,12,2022,Annual,
A014350,신일건업,12,2011,Annual,"338,593,683"
A014350,신일건업,12,2012,Annual,"214,410,850"
A014350,신일건업,12,2013,Annual,"179,920,266"
A014350,신일건업,12,2014,Annual,"188,335,438"
A014350,신일건업,12,2015,Annual,
A014350,신일건업,12,2016,Annual,
A014350,신일건업,12,2017,Annual,
A014350,신일건업,12,2018,Annual,
A014350,신일건업,12,2019,Annual,
A014350,신일건업,12,2020,Annual,
A014350,신일건업,12,2021,Annual,
A014350,신일건업,12,2022,Annual,
A014590,티엘씨레저,12,2011,Annual,"40,374,835"
A014590,티엘씨레저,12,2012,Annual,"38,508,063"
A014590,티엘씨레저,12,2013,Annual,"30,305,727"
A014590,티엘씨레저,12,2014,Annual,"30,256,423"
A014590,티엘씨레저,12,2015,Annual,"62,915,746"
A014590,티엘씨레저,12,2016,Annual,"74,647,034"
A014590,티엘씨레저,12,2017,Annual,"80,261,418"
A014590,티엘씨레저,12,2018,Annual,"90,684,953"
A014590,티엘씨레저,12,2019,Annual,"119,263,326"
A014590,티엘씨레저,12,2020,Annual,"122,658,952"
A014590,티엘씨레저,12,2021,Annual,"137,321,618"
A014590,티엘씨레저,12,2022,Annual,"151,492,461"
A014740,금호케미칼,12,2011,Annual,
A014740,금호케미칼,12,2012,Annual,
A014740,금호케미칼,12,2013,Annual,
A014740,금호케미칼,12,2014,Annual,
A014740,금호케미칼,12,2015,Annual,
A014740,금호케미칼,12,2016,Annual,
A014740,금호케미칼,12,2017,Annual,
A014740,금호케미칼,12,2018,Annual,
A014740,금호케미칼,12,2019,Annual,
A014740,금호케미칼,12,2020,Annual,
A014740,금호케미칼,12,2021,Annual,
A014740,금호케미칼,12,2022,Annual,
A014900,삼보컴퓨터,12,2011,Annual,"99,264,885"
A014900,삼보컴퓨터,12,2012,Annual,"68,659,759"
A014900,삼보컴퓨터,12,2013,Annual,"37,757,808"
A014900,삼보컴퓨터,12,2014,Annual,"23,318,270"
A014900,삼보컴퓨터,12,2015,Annual,
A014900,삼보컴퓨터,12,2016,Annual,
A014900,삼보컴퓨터,12,2017,Annual,
A014900,삼보컴퓨터,12,2018,Annual,
A014900,삼보컴퓨터,12,2019,Annual,
A014900,삼보컴퓨터,12,2020,Annual,
A014900,삼보컴퓨터,12,2021,Annual,
A014900,삼보컴퓨터,12,2022,Annual,
A015110,중앙건설,12,2011,Annual,"373,598,383"
A015110,중앙건설,12,2012,Annual,"374,773,205"
A015110,중앙건설,12,2013,Annual,"396,810,551"
A015110,중앙건설,12,2014,Annual,
A015110,중앙건설,12,2015,Annual,
A015110,중앙건설,12,2016,Annual,
A015110,중앙건설,12,2017,Annual,
A015110,중앙건설,12,2018,Annual,
A015110,중앙건설,12,2019,Annual,
A015110,중앙건설,12,2020,Annual,
A015110,중앙건설,12,2021,Annual,
A015110,중앙건설,12,2022,Annual,
A015340,나우정밀,12,2011,Annual,
A015340,나우정밀,12,2012,Annual,
A015340,나우정밀,12,2013,Annual,
A015340,나우정밀,12,2014,Annual,
A015340,나우정밀,12,2015,Annual,
A015340,나우정밀,12,2016,Annual,
A015340,나우정밀,12,2017,Annual,
A015340,나우정밀,12,2018,Annual,
A015340,나우정밀,12,2019,Annual,
A015340,나우정밀,12,2020,Annual,
A015340,나우정밀,12,2021,Annual,
A015340,나우정밀,12,2022,Annual,
A015350,부산가스,12,2011,Annual,"303,642,270"
A015350,부산가스,12,2012,Annual,"354,446,020"
A015350,부산가스,12,2013,Annual,"356,075,195"
A015350,부산가스,12,2014,Annual,"293,081,558"
A015350,부산가스,12,2015,Annual,"304,058,133"
A015350,부산가스,12,2016,Annual,"296,220,597"
A015350,부산가스,12,2017,Annual,"327,621,113"
A015350,부산가스,12,2018,Annual,"354,755,385"
A015350,부산가스,12,2019,Annual,"367,004,345"
A015350,부산가스,12,2020,Annual,"400,901,057"
A015350,부산가스,12,2021,Annual,"438,821,522"
A015350,부산가스,12,2022,Annual,"609,934,424"
A015540,에코바이브,12,2011,Annual,"4,093,003"
A015540,에코바이브,12,2012,Annual,"1,626,423"
A015540,에코바이브,12,2013,Annual,"1,303,929"
