Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원)
A033780,KT&G,12,2020,Annual,"9,091,571,656","2,376,811,496"
A033780,KT&G,12,2021,Annual,"9,208,862,153","2,428,409,041"
A033780,KT&G,12,2022,Annual,"9,358,580,000","2,943,136,000"
A012450,한화에어로스페이스,12,2011,Annual,"1,593,750,589","1,609,769,040"
A012450,한화에어로스페이스,12,2012,Annual,"1,577,675,154","1,663,262,864"
A012450,한화에어로스페이스,12,2013,Annual,"1,704,780,602","1,729,443,481"
A012450,한화에어로스페이스,12,2014,Annual,"1,643,052,110","1,958,676,390"
A012450,한화에어로스페이스,12,2015,Annual,"2,245,115,520","1,862,814,914"
A012450,한화에어로스페이스,12,2016,Annual,"2,340,764,615","3,311,673,751"
A012450,한화에어로스페이스,12,2017,Annual,"2,180,953,221","3,566,619,940"
