Symbol,Name,결산월,회계년,주기,고정자산회전율,매출액(천원),비유동자산(천원)
A015760,한국전력,12,2015,Annual,0.384761074,58957722000,1.53E+11
A015760,한국전력,12,2016,Annual,0.380642186,60190384000,1.58E+11
A015760,한국전력,12,2017,Annual,0.367758308,59814862000,1.63E+11
A015760,한국전력,12,2018,Annual,0.366321132,60627610000,1.66E+11
A015760,한국전력,12,2019,Annual,0.332217721,59172890000,1.78E+11
A015760,한국전력,12,2020,Annual,0.32078683,58569314000,1.83E+11
A015760,한국전력,12,2021,Annual,0.320900524,60673587000,1.89E+11
A015760,한국전력,12,2022,Annual,0.347507032,71257863000,2.05E+11
A259960,크래프톤,12,2011,Annual,1.390340812,27265120,19610386
A259960,크래프톤,12,2012,Annual,2.84569472,40677473,14294391
