Symbol,Name,결산월,회계년,주기,총자본(천원)
A012450,한화에어로스페이스,12,2017,Annual,"2,180,953,221"
A012450,한화에어로스페이스,12,2018,Annual,"2,635,750,421"
A012450,한화에어로스페이스,12,2019,Annual,"2,855,355,292"
A012450,한화에어로스페이스,12,2020,Annual,"2,989,725,531"
A012450,한화에어로스페이스,12,2021,Annual,"3,931,558,527"
A012450,한화에어로스페이스,12,2022,Annual,"3,918,309,618"
A017670,SK텔레콤,12,2011,Annual,"12,732,709,047"
A017670,SK텔레콤,12,2012,Annual,"12,854,782,317"
A017670,SK텔레콤,12,2013,Annual,"14,166,557,000"
A017670,SK텔레콤,12,2014,Annual,"15,248,270,000"
A017670,SK텔레콤,12,2015,Annual,"15,374,096,000"
A017670,SK텔레콤,12,2016,Annual,"16,116,430,000"
A017670,SK텔레콤,12,2017,Annual,"18,029,195,000"
A017670,SK텔레콤,12,2018,Annual,"22,349,250,000"
A017670,SK텔레콤,12,2019,Annual,"22,816,934,000"
A017670,SK텔레콤,12,2020,Annual,"24,396,243,000"
A017670,SK텔레콤,12,2021,Annual,"12,335,138,000"
A017670,SK텔레콤,12,2022,Annual,"12,155,196,000"
A402340,SK스퀘어,12,2011,Annual,
A402340,SK스퀘어,12,2012,Annual,
A402340,SK스퀘어,12,2013,Annual,
A402340,SK스퀘어,12,2014,Annual,
A402340,SK스퀘어,12,2015,Annual,
A402340,SK스퀘어,12,2016,Annual,
A402340,SK스퀘어,12,2017,Annual,
A402340,SK스퀘어,12,2018,Annual,
A402340,SK스퀘어,12,2019,Annual,
A402340,SK스퀘어,12,2020,Annual,
A402340,SK스퀘어,12,2021,Annual,"16,855,294,000"
A402340,SK스퀘어,12,2022,Annual,"17,163,200,000"
A011200,HMM,12,2011,Annual,"1,746,463,000"
A011200,HMM,12,2012,Annual,"1,095,290,000"
A011200,HMM,12,2013,Annual,"687,700,000"
A011200,HMM,12,2014,Annual,"685,533,000"
A011200,HMM,12,2015,Annual,"228,635,000"
A011200,HMM,12,2016,Annual,"951,322,000"
A011200,HMM,12,2017,Annual,"896,920,000"
A011200,HMM,12,2018,Annual,"1,039,671,000"
A011200,HMM,12,2019,Annual,"1,090,309,000"
A011200,HMM,12,2020,Annual,"1,688,548,000"
A011200,HMM,12,2021,Annual,"10,358,294,000"
A011200,HMM,12,2022,Annual,"20,781,116,000"
A329180,HD현대중공업,12,2011,Annual,
A329180,HD현대중공업,12,2012,Annual,
A329180,HD현대중공업,12,2013,Annual,
A329180,HD현대중공업,12,2014,Annual,
A329180,HD현대중공업,12,2015,Annual,
A329180,HD현대중공업,12,2016,Annual,
A329180,HD현대중공업,12,2017,Annual,
A329180,HD현대중공업,12,2018,Annual,
A329180,HD현대중공업,12,2019,Annual,"5,622,907,442"
A329180,HD현대중공업,12,2020,Annual,"5,360,784,621"
A329180,HD현대중공업,12,2021,Annual,"5,594,024,949"
A329180,HD현대중공업,12,2022,Annual,"5,287,819,487"
A096770,SK이노베이션,12,2011,Annual,"14,831,609,580"
A096770,SK이노베이션,12,2012,Annual,"16,348,024,722"
A096770,SK이노베이션,12,2013,Annual,"16,915,253,754"
A096770,SK이노베이션,12,2014,Annual,"16,061,057,247"
A096770,SK이노베이션,12,2015,Annual,"17,046,336,221"
A096770,SK이노베이션,12,2016,Annual,"18,305,045,259"
A096770,SK이노베이션,12,2017,Annual,"19,309,332,899"
A096770,SK이노베이션,12,2018,Annual,"19,174,254,224"
A096770,SK이노베이션,12,2019,Annual,"18,213,217,158"
A096770,SK이노베이션,12,2020,Annual,"15,458,465,083"
A096770,SK이노베이션,12,2021,Annual,"19,620,696,364"
A096770,SK이노베이션,12,2022,Annual,"23,242,311,382"
A024110,기업은행,12,2011,Annual,"13,202,132,000"
A024110,기업은행,12,2012,Annual,"13,939,188,000"
A024110,기업은행,12,2013,Annual,"14,429,058,000"
A024110,기업은행,12,2014,Annual,"15,646,259,000"
A024110,기업은행,12,2015,Annual,"17,293,790,000"
A024110,기업은행,12,2016,Annual,"18,047,408,000"
A024110,기업은행,12,2017,Annual,"19,801,738,000"
A024110,기업은행,12,2018,Annual,"21,094,176,000"
A024110,기업은행,12,2019,Annual,"22,776,647,000"
A024110,기업은행,12,2020,Annual,"25,142,349,000"
A024110,기업은행,12,2021,Annual,"27,533,849,000"
A024110,기업은행,12,2022,Annual,"29,255,929,000"
A316140,우리금융지주,12,2011,Annual,
A316140,우리금융지주,12,2012,Annual,
A316140,우리금융지주,12,2013,Annual,
A316140,우리금융지주,12,2014,Annual,
A316140,우리금융지주,12,2015,Annual,
A316140,우리금융지주,12,2016,Annual,
A316140,우리금융지주,12,2017,Annual,
A316140,우리금융지주,12,2018,Annual,
A316140,우리금융지주,12,2019,Annual,"25,492,332,000"
A316140,우리금융지주,12,2020,Annual,"26,725,845,000"
A316140,우리금융지주,12,2021,Annual,"28,850,195,000"
A316140,우리금융지주,12,2022,Annual,"31,627,342,000"
A010130,고려아연,12,2011,Annual,"3,510,411,838"
A010130,고려아연,12,2012,Annual,"3,986,045,660"
A010130,고려아연,12,2013,Annual,"4,331,959,019"
A010130,고려아연,12,2014,Annual,"4,783,113,804"
A010130,고려아연,12,2015,Annual,"5,219,368,828"
A010130,고려아연,12,2016,Annual,"5,662,704,694"
A010130,고려아연,12,2017,Annual,"6,105,650,755"
A010130,고려아연,12,2018,Annual,"6,374,527,775"
A010130,고려아연,12,2019,Annual,"6,838,391,895"
A010130,고려아연,12,2020,Annual,"7,087,028,686"
A010130,고려아연,12,2021,Annual,"7,734,234,463"
A010130,고려아연,12,2022,Annual,"9,231,732,117"
A034020,두산에너빌리티,12,2011,Annual,"4,796,928,019"
A034020,두산에너빌리티,12,2012,Annual,"5,986,459,883"
A034020,두산에너빌리티,12,2013,Annual,"7,911,794,202"
