Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),영업이익(천원),이자비용(천원),현금및현금성자산구성비율(%),유동자산(천원),유동부채(천원),당좌자산(천원)
A145020,휴젤,12,2012,Annual,36.17,0.11,33.09,20.15,25.24,"8,051,949","136,524",9.89,"13,749,978","4,241,618","12,138,137"
A145020,휴젤,12,2013,Annual,34.68,0.80,32.71,65.54,190.20,"11,584,289","1,067,567",21.41,"40,857,692","5,414,148","38,984,290"
A145020,휴젤,12,2014,Annual,32.48,1.01,31.98,56.12,127.89,"15,488,189","1,086,421",17.83,"52,253,235","54,276,575","50,640,680"
A145020,휴젤,12,2015,Annual,20.93,27.53,31.89,7.87,8.54,"17,757,468","34,098",30.18,"107,498,810","17,872,440","99,496,193"
A145020,휴젤,12,2016,Annual,19.99,21.71,25.07,6.92,7.43,"63,260,268",0,22.04,"151,349,036","19,911,913","137,800,332"
A145020,휴젤,12,2017,Annual,7.19,7.76,22.07,12.55,14.35,"101,924,345","1,493,187",3.81,"679,395,749","22,682,032","663,848,168"
A145020,휴젤,12,2018,Annual,6.60,12.25,39.03,14.54,17.01,"60,194,964","3,317,722",3.16,"684,808,072","23,045,053","662,944,828"
A145020,휴젤,12,2019,Annual,7.80,14.93,37.08,16.81,20.21,"68,086,697","3,565,972",1.71,"640,910,847","37,568,296","612,000,622"
A145020,휴젤,12,2020,Annual,8.04,17.76,33.51,16.97,20.44,"78,059,793","3,658,328",6.52,"668,408,388","43,773,775","645,229,294"
A145020,휴젤,12,2021,Annual,9.47,19.55,35.14,17.88,21.78,"95,611,343","3,721,725",29.13,"616,103,778","54,049,533","588,744,147"
A145020,휴젤,12,2022,Annual,11.48,19.06,41.71,19.08,23.58,"101,378,493","3,111,896",12.55,"617,863,084","177,312,675","590,956,437"
A000250,삼천당제약,12,2011,Annual,27.20,1.65,43.44,14.65,17.17,"7,498,726",0,9.35,"61,652,117","9,761,079","48,647,404"
A000250,삼천당제약,12,2012,Annual,40.68,4.43,41.90,29.03,40.91,"5,959,443",0,5.11,"56,566,940","24,225,147","40,995,315"
A000250,삼천당제약,12,2013,Annual,31.95,3.32,38.96,23.26,30.32,"15,877,144",0,21.85,"86,754,317","29,786,312","70,823,417"
A000250,삼천당제약,12,2014,Annual,31.65,3.98,38.95,19.02,23.49,"18,943,152",0,19.18,"94,171,605","26,547,663","77,197,419"
A000250,삼천당제약,12,2015,Annual,32.19,4.65,38.81,16.25,19.41,"20,762,790",0,18.92,"98,945,694","21,713,551","81,207,504"
A000250,삼천당제약,12,2016,Annual,28.24,6.37,37.13,16.63,19.95,"24,358,076",0,23.70,"116,603,354","26,146,746","97,432,570"
A000250,삼천당제약,12,2017,Annual,23.97,6.53,37.86,15.81,18.78,"23,968,812",0,26.90,"131,207,553","23,699,293","109,359,039"
A000250,삼천당제약,12,2018,Annual,23.25,8.06,42.32,21.21,26.92,"15,500,129",0,19.71,"142,271,889","38,419,138","119,842,032"
